07/26/2016 11:39:14,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:39:16,newText,System Match
07/26/2016 11:39:16,newText,Current Received Position: 48000
07/26/2016 11:39:19,newText,try number: 2
07/26/2016 11:39:19,newText,	resent last
07/26/2016 11:39:19,newText,	pos @ 48000
07/26/2016 11:39:19,newText,	wordlength 1000
07/26/2016 11:39:19,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:39:21,newText,System Match
07/26/2016 11:39:21,newText,Current Received Position: 48000
07/26/2016 11:39:24,newText,try number: 3
07/26/2016 11:39:24,newText,	resent last
07/26/2016 11:39:24,newText,	pos @ 48000
07/26/2016 11:39:24,newText,	wordlength 1000
07/26/2016 11:39:24,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:39:26,newText,System Match
07/26/2016 11:39:26,newText,Current Received Position: 48000
07/26/2016 11:39:27,newText,Current Received Position: 49000
07/26/2016 11:39:29,newText,try number: 1
07/26/2016 11:39:29,newText,	resent last
07/26/2016 11:39:29,newText,	pos @ 49000
07/26/2016 11:39:29,newText,	wordlength 1000
07/26/2016 11:39:29,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:39:32,newText,System Match
07/26/2016 11:39:32,newText,Current Received Position: 49000
07/26/2016 11:39:33,newText,Current Received Position: 50000
07/26/2016 11:39:35,newText,try number: 1
07/26/2016 11:39:35,newText,	resent last
07/26/2016 11:39:35,newText,	pos @ 50000
07/26/2016 11:39:35,newText,	wordlength 1000
07/26/2016 11:39:35,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:39:37,newText,System Match
07/26/2016 11:39:37,newText,Current Received Position: 50000
07/26/2016 11:39:40,newText,try number: 2
07/26/2016 11:39:40,newText,	resent last
07/26/2016 11:39:40,newText,	pos @ 50000
07/26/2016 11:39:40,newText,	wordlength 1000
07/26/2016 11:39:40,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:39:42,newText,System Match
07/26/2016 11:39:42,newText,Current Received Position: 50000
07/26/2016 11:39:43,newText,Current Received Position: 51000
07/26/2016 11:39:45,newText,try number: 1
07/26/2016 11:39:45,newText,	resent last
07/26/2016 11:39:45,newText,	pos @ 51000
07/26/2016 11:39:45,newText,	wordlength 1000
07/26/2016 11:39:45,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:39:47,newText,System Match
07/26/2016 11:39:47,newText,Current Received Position: 51000
07/26/2016 11:39:50,newText,try number: 2
07/26/2016 11:39:50,newText,	resent last
07/26/2016 11:39:50,newText,	pos @ 51000
07/26/2016 11:39:50,newText,	wordlength 1000
07/26/2016 11:39:50,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:39:52,newText,System Match
07/26/2016 11:39:52,newText,Current Received Position: 51000
07/26/2016 11:39:54,newText,Current Received Position: 52000
07/26/2016 11:39:56,newText,try number: 1
07/26/2016 11:39:56,newText,	resent last
07/26/2016 11:39:56,newText,	pos @ 52000
07/26/2016 11:39:56,newText,	wordlength 1000
07/26/2016 11:39:56,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:39:58,newText,System Match
07/26/2016 11:39:58,newText,Current Received Position: 52000
07/26/2016 11:40:01,newText,try number: 2
07/26/2016 11:40:01,newText,	resent last
07/26/2016 11:40:01,newText,	pos @ 52000
07/26/2016 11:40:01,newText,	wordlength 1000
07/26/2016 11:40:01,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:40:03,newText,System Match
07/26/2016 11:40:03,newText,Current Received Position: 52000
07/26/2016 11:40:06,newText,try number: 3
07/26/2016 11:40:06,newText,	resent last
07/26/2016 11:40:06,newText,	pos @ 52000
07/26/2016 11:40:06,newText,	wordlength 1000
07/26/2016 11:40:06,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:40:08,newText,System Match
07/26/2016 11:40:08,newText,Current Received Position: 52000
07/26/2016 11:40:11,newText,try number: 4
07/26/2016 11:40:11,newText,	resent last
07/26/2016 11:40:11,newText,	pos @ 52000
07/26/2016 11:40:11,newText,	wordlength 1000
07/26/2016 11:40:11,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:40:13,newText,System Match
07/26/2016 11:40:13,newText,Current Received Position: 52000
07/26/2016 11:40:14,newText,Current Received Position: 53000
07/26/2016 11:40:14,newText,Current Received Position: 54000
07/26/2016 11:40:15,newText,Current Received Position: 55000
07/26/2016 11:40:16,newText,Current Received Position: 56000
07/26/2016 11:40:16,newText,Current Received Position: 57000
07/26/2016 11:40:19,newText,try number: 1
07/26/2016 11:40:19,newText,	resent last
07/26/2016 11:40:19,newText,	pos @ 57000
07/26/2016 11:40:19,newText,	wordlength 1000
07/26/2016 11:40:19,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:40:21,newText,System Match
07/26/2016 11:40:21,newText,Current Received Position: 57000
07/26/2016 11:40:22,newText,Current Received Position: 58000
07/26/2016 11:40:24,newText,try number: 1
07/26/2016 11:40:24,newText,	resent last
07/26/2016 11:40:24,newText,	pos @ 58000
07/26/2016 11:40:24,newText,	wordlength 1000
07/26/2016 11:40:24,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:40:26,newText,System Match
07/26/2016 11:40:26,newText,Current Received Position: 58000
07/26/2016 11:40:27,newText,Current Received Position: 59000
07/26/2016 11:40:29,newText,try number: 1
07/26/2016 11:40:29,newText,	resent last
07/26/2016 11:40:29,newText,	pos @ 59000
07/26/2016 11:40:29,newText,	wordlength 1000
07/26/2016 11:40:29,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:40:32,newText,System Match
07/26/2016 11:40:32,newText,Current Received Position: 59000
07/26/2016 11:40:34,newText,try number: 2
07/26/2016 11:40:34,newText,	resent last
07/26/2016 11:40:34,newText,	pos @ 59000
07/26/2016 11:40:34,newText,	wordlength 1000
07/26/2016 11:40:34,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:40:37,newText,System Match
07/26/2016 11:40:37,newText,Current Received Position: 59000
07/26/2016 11:40:40,newText,try number: 3
07/26/2016 11:40:40,newText,	resent last
07/26/2016 11:40:40,newText,	pos @ 59000
07/26/2016 11:40:40,newText,	wordlength 1000
07/26/2016 11:40:40,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:40:42,newText,System Match
07/26/2016 11:40:42,newText,Current Received Position: 59000
07/26/2016 11:40:43,newText,Current Received Position: 60000
07/26/2016 11:40:45,newText,try number: 1
07/26/2016 11:40:45,newText,	resent last
07/26/2016 11:40:45,newText,	pos @ 60000
07/26/2016 11:40:45,newText,	wordlength 1000
07/26/2016 11:40:45,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:40:47,newText,System Match
07/26/2016 11:40:47,newText,Current Received Position: 60000
07/26/2016 11:40:50,newText,try number: 2
07/26/2016 11:40:50,newText,	resent last
07/26/2016 11:40:50,newText,	pos @ 60000
07/26/2016 11:40:50,newText,	wordlength 1000
07/26/2016 11:40:50,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:40:52,newText,System Match
07/26/2016 11:40:52,newText,Current Received Position: 60000
07/26/2016 11:40:55,newText,try number: 3
07/26/2016 11:40:55,newText,	resent last
07/26/2016 11:40:55,newText,	pos @ 60000
07/26/2016 11:40:55,newText,	wordlength 1000
07/26/2016 11:40:55,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:40:57,newText,System Match
07/26/2016 11:40:57,newText,Current Received Position: 60000
07/26/2016 11:40:58,newText,Current Received Position: 61000
07/26/2016 11:41:01,newText,try number: 1
07/26/2016 11:41:01,newText,	resent last
07/26/2016 11:41:01,newText,	pos @ 61000
07/26/2016 11:41:01,newText,	wordlength 1000
07/26/2016 11:41:01,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:41:03,newText,System Match
07/26/2016 11:41:03,newText,Current Received Position: 61000
07/26/2016 11:41:06,newText,try number: 2
07/26/2016 11:41:06,newText,	resent last
07/26/2016 11:41:06,newText,	pos @ 61000
07/26/2016 11:41:06,newText,	wordlength 1000
07/26/2016 11:41:06,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:41:08,newText,System Match
07/26/2016 11:41:08,newText,Current Received Position: 61000
07/26/2016 11:41:11,newText,try number: 3
07/26/2016 11:41:11,newText,	resent last
07/26/2016 11:41:11,newText,	pos @ 61000
07/26/2016 11:41:11,newText,	wordlength 1000
07/26/2016 11:41:11,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:41:13,newText,System Match
07/26/2016 11:41:13,newText,Current Received Position: 61000
07/26/2016 11:41:14,newText,Current Received Position: 62000
07/26/2016 11:41:16,newText,try number: 1
07/26/2016 11:41:16,newText,	resent last
07/26/2016 11:41:16,newText,	pos @ 62000
07/26/2016 11:41:16,newText,	wordlength 1000
07/26/2016 11:41:16,newText,Attempting to Sync - This should take approx. 2 sec
07/26/2016 11:41:18,newText,System Match
07/26/2016 11:41:18,newText,Current Received Position: 62000
07/26/2016 11:41:21,newText,try number: 2
07/26/2016 11:41:21,newText,	resent last
